               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11218,            0.017776,                   0,           0.0081461,             0.95455,            0.055133,            0.013914,            0.061193,            0.010076,                   0,              0.0766,              0.0026,              0.0026
                   1,            0.086425,            0.019163,                   0,             0.26797,             0.27273,             0.27376,            0.074297,            0.038384,           0.0096398,                   0,            0.052265,            0.005265,            0.005265
                   2,            0.071178,            0.020281,                   0,             0.37173,             0.52273,             0.46965,             0.14445,            0.034994,           0.0089923,                   0,            0.027894,           0.0078944,           0.0078944
                   3,             0.06415,            0.020113,                   0,             0.19677,                0.75,             0.18588,            0.069727,            0.043944,            0.008528,                   0,            0.009802,            0.009802,            0.009802
                   4,             0.06074,            0.018388,                   0,             0.52046,             0.72727,             0.62355,             0.21591,            0.033322,           0.0068077,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.057418,            0.017638,                   0,             0.39922,             0.57396,             0.38662,             0.13898,            0.034739,           0.0075286,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.051141,            0.017743,                   0,             0.46406,             0.70455,             0.58353,             0.23272,              0.0288,            0.007312,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.048986,            0.017248,                   0,             0.65918,             0.77273,             0.72171,             0.35316,            0.027802,           0.0063216,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.048888,            0.015826,                   0,             0.60832,             0.77659,             0.71474,             0.29544,            0.028755,           0.0061248,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.047736,            0.016005,                   0,             0.79386,             0.87538,             0.89915,             0.43554,             0.02678,           0.0060048,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.043593,            0.015099,                   0,             0.85666,             0.86364,             0.91886,             0.45041,            0.023949,            0.005983,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.043602,            0.015009,                   0,             0.78276,             0.81818,             0.86941,              0.4775,            0.022662,           0.0059303,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.041913,            0.013724,                   0,             0.75087,             0.81818,             0.87328,             0.49209,            0.025211,           0.0059784,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.041426,            0.013975,                   0,             0.96892,             0.84091,             0.95733,             0.50488,            0.024144,           0.0056268,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.040637,            0.013992,                   0,              0.8308,             0.81818,             0.90085,             0.44865,             0.02553,           0.0060932,                   0,            0.009142,            0.009142,            0.009142
                  15,             0.03995,            0.013427,                   0,             0.79582,             0.88585,             0.93365,             0.55289,            0.021116,           0.0057109,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.038447,            0.014344,                   0,             0.81306,             0.79545,             0.81112,             0.48971,            0.025022,           0.0064572,                   0,             0.00901,             0.00901,             0.00901
                  17,             0.03897,            0.013719,                   0,             0.73448,             0.88025,             0.86767,             0.51859,            0.023768,           0.0066057,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.038124,            0.013188,                   0,             0.87052,             0.93182,             0.92735,             0.49708,            0.023485,           0.0064821,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.037628,            0.013297,                   0,             0.89953,             0.93182,             0.97141,             0.55124,             0.02225,           0.0057122,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.036788,            0.013137,                   0,             0.94944,             0.85375,             0.95301,             0.50868,            0.024461,           0.0056751,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.037657,            0.013192,                   0,             0.94895,             0.93182,             0.96298,             0.55114,            0.021971,           0.0055043,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.037134,            0.013032,                   0,             0.91066,             0.93182,             0.97098,             0.61014,            0.020366,           0.0050476,                   0,            0.008614,            0.008614,            0.008614
                  23,             0.03689,            0.013377,                   0,             0.98898,             0.84091,             0.94709,             0.56478,            0.019745,           0.0051619,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.036573,            0.012028,                   0,             0.88552,             0.90909,             0.94163,             0.55949,            0.023807,           0.0048015,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.035239,            0.013073,                   0,             0.88536,             0.87772,             0.91976,             0.47393,            0.024235,           0.0059642,                   0,            0.008416,            0.008416,            0.008416
                  26,             0.03439,            0.012418,                   0,             0.88111,             0.90909,             0.93793,             0.52721,            0.022668,           0.0053738,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.034165,            0.012474,                   0,              0.9069,             0.95455,             0.95634,             0.56414,            0.018571,           0.0057433,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.034092,            0.012065,                   0,             0.93174,             0.93068,             0.96781,             0.59693,            0.019041,           0.0053179,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.033594,            0.012175,                   0,             0.89701,             0.90909,             0.91545,             0.49597,            0.021147,           0.0058436,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.032227,            0.011222,                   0,             0.88931,             0.93182,             0.93808,             0.57509,            0.022482,           0.0052157,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.031401,            0.011282,                   0,             0.90718,             0.90909,             0.96181,             0.60052,             0.02274,           0.0053341,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.032957,            0.011968,                   0,             0.94368,             0.86364,             0.91464,             0.60176,            0.023407,           0.0053725,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.031273,             0.01168,                   0,             0.89405,             0.81818,             0.90079,             0.55502,            0.024436,           0.0059466,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.030215,            0.011147,                   0,             0.88957,              0.9155,             0.94584,             0.55977,            0.022044,           0.0054623,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.030327,            0.011434,                   0,             0.90829,             0.90045,             0.92839,             0.57386,            0.020877,           0.0057697,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.030141,            0.010883,                   0,             0.91878,             0.88636,             0.94274,             0.55159,            0.021611,           0.0061255,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.030911,            0.011761,                   0,             0.96597,             0.93182,             0.96616,              0.5471,            0.020085,           0.0057545,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.029428,            0.010929,                   0,             0.93538,             0.88636,             0.95283,             0.55067,            0.020828,           0.0059225,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.030124,            0.010972,                   0,             0.89144,             0.93312,              0.9566,             0.53682,            0.020651,           0.0062685,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.030715,            0.011657,                   0,             0.91521,             0.79545,             0.90701,             0.56879,            0.019832,           0.0061244,                   0,            0.007426,            0.007426,            0.007426
