               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082261,            0.024099,                   0,             0.67667,             0.56818,             0.62231,             0.27545,            0.034215,           0.0076658,                   0,             0.07016,           0.0033156,           0.0033156
                   1,            0.051073,            0.020358,                   0,             0.76557,             0.68182,             0.72147,             0.31982,             0.03345,           0.0073067,                   0,            0.040116,           0.0066051,           0.0066051
                   2,             0.04529,            0.018392,                   0,              0.7696,             0.79545,             0.82476,             0.38895,             0.02689,           0.0065877,                   0,            0.010028,           0.0098505,           0.0098505
                   3,            0.041644,            0.017792,                   0,              0.9249,             0.83977,             0.90822,             0.43538,            0.024459,            0.007501,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.040019,            0.017962,                   0,              0.8931,             0.86364,             0.91524,             0.59928,            0.023383,           0.0060755,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.036637,            0.016754,                   0,             0.88411,               0.867,             0.91672,             0.55878,            0.021514,           0.0068517,                   0,            0.009736,            0.009736,            0.009736
                   6,             0.03507,            0.016272,                   0,             0.93067,             0.88636,             0.92638,             0.59605,            0.019612,           0.0059623,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.03455,            0.016062,                   0,             0.92406,             0.88636,             0.93786,             0.56132,            0.021495,           0.0055614,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.033206,             0.01574,                   0,             0.90558,               0.872,             0.90567,             0.52436,            0.022869,           0.0064412,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.032683,            0.015422,                   0,             0.87696,             0.88636,             0.88961,             0.52404,            0.022389,            0.007709,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.032537,            0.015328,                   0,             0.90481,             0.88636,             0.91194,             0.54833,            0.020398,           0.0075684,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.031227,            0.015132,                   0,             0.84427,             0.81818,             0.86436,             0.44546,            0.023065,            0.008055,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.030718,            0.014885,                   0,             0.93253,             0.94256,             0.96848,             0.62467,             0.01928,           0.0063372,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.029949,            0.014541,                   0,             0.97318,             0.93182,             0.96671,             0.58989,            0.020917,           0.0072961,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.030069,            0.014581,                   0,             0.96818,             0.90909,              0.9661,             0.58341,            0.020468,           0.0065833,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.029654,            0.014263,                   0,             0.96596,             0.93182,             0.96969,             0.57577,            0.019158,           0.0072402,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.029617,            0.014457,                   0,             0.92415,             0.88636,              0.9245,             0.55019,            0.021321,           0.0074742,                   0,             0.00901,             0.00901,             0.00901
                  17,             0.02864,            0.013938,                   0,             0.97554,             0.90651,              0.9559,             0.56519,            0.023318,           0.0074505,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.028389,            0.013982,                   0,             0.96324,             0.90909,             0.96847,              0.5719,            0.019749,           0.0071273,                   0,            0.008878,            0.008878,            0.008878
                  19,             0.02841,            0.013974,                   0,             0.99203,             0.93182,             0.97294,             0.54931,             0.02056,           0.0076542,                   0,            0.008812,            0.008812,            0.008812
                  20,             0.02747,            0.013481,                   0,             0.95098,             0.93182,             0.97147,             0.57433,            0.020712,            0.007494,                   0,            0.008746,            0.008746,            0.008746
                  21,             0.02748,            0.013396,                   0,             0.95231,             0.90766,              0.9367,             0.56853,            0.022134,           0.0078049,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.027271,            0.013514,                   0,             0.90854,             0.90318,             0.93348,              0.5775,            0.019463,           0.0068013,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.026915,            0.013669,                   0,             0.97039,             0.90909,             0.94646,             0.56064,            0.020083,           0.0074702,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.026985,            0.013073,                   0,             0.95032,             0.93182,             0.95302,             0.54629,             0.01966,           0.0072242,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.026795,            0.013425,                   0,             0.88871,             0.90748,              0.9097,             0.56492,            0.020512,           0.0073571,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.026678,            0.013197,                   0,             0.95312,             0.92419,             0.97203,             0.61413,            0.019651,           0.0070491,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.026448,            0.013249,                   0,             0.88602,             0.90909,             0.92163,             0.56207,            0.019008,           0.0080773,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.026289,             0.01277,                   0,             0.97086,             0.93182,             0.96104,             0.57194,            0.020539,           0.0075002,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.026264,            0.013008,                   0,                   1,             0.90735,              0.9802,             0.62881,            0.019676,           0.0060879,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.025539,            0.012611,                   0,             0.95222,             0.90601,             0.93203,             0.57257,            0.019939,           0.0078206,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.025436,            0.013124,                   0,             0.93458,             0.97413,             0.98148,             0.62675,            0.018762,           0.0063512,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.025231,            0.012843,                   0,             0.97611,             0.93182,             0.97031,             0.63265,            0.018787,           0.0061729,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.024987,            0.012241,                   0,             0.90288,             0.88636,             0.93814,             0.57529,            0.019127,           0.0074128,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.024796,            0.012326,                   0,             0.99787,             0.95455,             0.97732,             0.59124,            0.020273,           0.0075654,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.024644,            0.012721,                   0,             0.99646,             0.95455,             0.96989,              0.5847,            0.019669,           0.0074567,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.024224,            0.012116,                   0,             0.99702,             0.95455,             0.98352,             0.58607,            0.020964,           0.0075112,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.024518,            0.012457,                   0,             0.90947,             0.95455,             0.96225,             0.56381,            0.021828,           0.0077325,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.024263,            0.012417,                   0,             0.94922,             0.93182,             0.96694,             0.56887,            0.022277,           0.0081354,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.024372,            0.012444,                   0,                   1,             0.91541,             0.97478,             0.62097,            0.019336,           0.0069259,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.024254,            0.012173,                   0,             0.98957,             0.93182,             0.97526,             0.63983,            0.019104,           0.0077247,                   0,            0.007426,            0.007426,            0.007426
